类别,问题,答案
现代医学,氯化钾注射液能直接静脉推注吗？,绝对禁止！氯化钾直接静脉推注或快速滴注会导致高钾血症，引起心脏骤停死亡。正确使用方法：①必须稀释后缓慢静脉滴注；②浓度不超过0.3%（40mmol/L）；③滴速不超过20mmol/小时；④外周静脉给药浓度不超过40mmol/L，中心静脉可至80mmol/L；⑤不能肌肉注射；⑤输注期间监测心电图和血钾；⑦肾功能不全者慎用。
现代医学,左氧氟沙星和多价阳离子能配伍吗？,不能！左氧氟沙星（喹诺酮类抗生素）会与多价阳离子（钙、镁、铁、铝、锌）形成螯合物，生成不溶性沉淀，导致抗生素失效。禁止配伍的药物/溶液：①葡萄糖酸钙、氯化钙；②硫酸镁；③含铁剂；④含铝的制酸剂；⑤林格液。左氧氟沙星应单独使用葡萄糖注射液或生理盐水稀释，与含金属离子的药物间隔2小时以上。
现代医学,氨曲南和维生素C能配伍使用吗？,不建议配伍！氨曲南（单环β-内酰胺类）在酸性环境下稳定性下降，维生素C为酸性（pH 5.5-7），混合后会加速氨曲南的降解。配伍后可能出现：①药效降低；②溶液颜色改变（变黄）；③分解产物增加。正确使用：氨曲南单独使用生理盐水或葡萄糖注射液稀释，与酸性药物（维生素C、氨基酸等）分开给药，中间用生理盐水冲管。
现代医学,呋塞米注射液能和酸性药物配伍吗？,不能！呋塞米为弱碱性药物（pH 8.5-9.5），在酸性环境下会析出沉淀。禁止配伍的酸性药物：①维生素C；②盐酸多巴胺；③盐酸多巴酚丁胺；④氨基酸注射液；⑤稀盐酸。呋塞米应单独使用生理盐水或葡萄糖注射液稀释，避光保存，现配现用。若需与酸性药物同时使用，应分开不同通路给药或用生理盐水充分冲管。
现代医学,丙泊酚乳状注射液能和其他药物混合吗？,严格禁止！丙泊酚为脂肪乳剂，任何药物加入都可能导致破乳，出现油水分离、絮状物或颗粒。使用注意事项：①不能在丙泊酚中加入任何药物；②必须使用专用输液器；③不能与其他药物共用输液通路；④打开后6小时内用完；⑤输注前轻轻摇匀，观察是否有分层或颗粒；⑥输注完毕后用生理盐水或葡萄糖冲管后再输其他药物。
现代医学,氨基酸注射液能和维生素C混合使用吗？,可以配伍但需注意条件！氨基酸注射液（pH 5.5-6.5）与维生素C（pH 5.5-7）可以混合，但需注意：①维生素C浓度不宜过高，避免pH过低；②需在配制全营养液（TPN）时才建议混合；③加入维生素C后应在24小时内用完；④避光保存；⑤不能同时加入碱性药物；⑥观察是否有变色或沉淀，有异常立即停用。
现代医学,头孢噻肟钠能和含钙溶液配伍吗？,可以！与头孢曲松不同，头孢噻肟钠不会与钙离子形成不溶性盐，可以与含钙溶液（葡萄糖酸钙、林格液等）配伍使用。但仍需注意：①现配现用，2小时内用完；②观察是否有沉淀或变色；③新生儿和婴儿使用时仍需谨慎；④与其他头孢菌素一样，不能与氨基糖苷类在同一容器混合；⑤避免与碱性药物配伍。
现代医学,碳酸氢钠注射液能和哪些药物配伍？,碳酸氢钠为强碱性（pH 7.5-8.5），与大多数药物配伍禁忌！禁止配伍的药物：①儿茶酚胺类（多巴胺、去甲肾、肾上腺素）会氧化失效；②维生素C、B族维生素会被破坏；③钙剂会产生碳酸钙沉淀；④多数抗生素（青霉素、头孢、氨基糖苷类）会降解；⑤胰岛素会失活。碳酸氢钠应单独使用，不与其他药物混合，使用专用通路。
现代医学,硫酸镁注射液静脉滴注有什么注意事项？,硫酸镁静脉使用需严格控制！注意事项：①必须稀释后缓慢滴注，浓度不超过20%；②滴速不超过1g/小时（解痉）或1.5-2g/小时（抗惊厥）；③过快会导致：潮热、出汗、血压下降、呼吸抑制、心跳骤停；④不能与钙剂、碳酸氢钠、碱性药物配伍；⑤输注期间监测：呼吸频率、膝反射、尿量、血镁浓度；⑥肾功能不全者慎用；⑦备好钙剂作为解毒剂。
现代医学,阿奇霉素注射液能和生理盐水配伍吗？,不能！阿奇霉素注射液只能用5%或10%葡萄糖注射液稀释，严禁使用生理盐水或其他含电解质的溶液。原因：阿奇霉素在电解质溶液中稳定性差，容易产生沉淀或变色。配制方法：①先用4.8ml注射用水溶解500mg阿奇霉素；②再用250-500ml葡萄糖注射液稀释；③浓度控制在1-2mg/ml；④滴注时间不少于60分钟；⑤避光输注；⑥现配现用。
现代医学,去乙酰毛花苷（西地兰）和钙剂能同时使用吗？,严格禁忌！洋地黄类药物（西地兰、地高辛）与钙剂同时使用会协同增强心肌收缩力，容易诱发心律失常，甚至室颤、心脏骤停。机制：钙离子与洋地黄都能增加心肌细胞内钙浓度，两者同时使用产生叠加效应。临床处理：①洋地黄治疗期间避免静脉补钙；②若必须补钙，应间隔4-6小时；③补钙时减慢滴速，密切监测心电图；④低钾血症时更易发生，先纠正低钾。
现代医学,氯丙嗪注射液能和去甲肾上腺素配伍吗？,药理学拮抗，不建议同时使用！氯丙嗪（抗精神病药）具有α受体阻断作用，会削弱去甲肾上腺素的升压效果，甚至可能导致血压进一步下降（反常性低血压）。若必须同时使用：①分开给药，使用不同通路；②增加去甲肾上腺素剂量；③密切监测血压；④可考虑改用其他升压药（如去氧肾上腺素）；⑤避免两药在同一容器混合。
现代医学,甲硝唑注射液能和什么配伍？,甲硝唑注射液配伍范围有限！可配伍：①生理盐水；②5%葡萄糖注射液。禁止配伍：①碱性药物（碳酸氢钠、氨茶碱）会使甲硝唑降解；②头孢菌素类（部分）会产生沉淀；③维生素K会产生沉淀；④氨基糖苷类抗生素。使用注意：甲硝唑注射液本身已是成品输液，无需再稀释，直接避光输注即可；若需与其他抗生素联用，应分开给药，中间用生理盐水冲管。
现代医学,胺碘酮注射液使用有什么特殊要求？,胺碘酮使用要求严格！①必须用5%葡萄糖注射液稀释，严禁用生理盐水（会产生沉淀）；②浓度不超过2mg/ml（负荷量时可至6mg/ml，但只能用中心静脉）；③必须使用非PVC输液器（玻璃瓶、PE或专用输液器），PVC会吸附胺碘酮；④负荷量需中心静脉给药；⑤避光输注；⑥不能与其他药物配伍；⑦现配现用，配制后2小时内用完；⑧监测心率、血压、心电图。
现代医学,苯妥英钠注射液能和葡萄糖注射液配伍吗？,不能！苯妥英钠注射液（pH 12）为强碱性，只能用生理盐水稀释，严禁用葡萄糖注射液。原因：①苯妥英钠在葡萄糖溶液中会迅速析出结晶；②葡萄糖降低pH后苯妥英钠溶解度急剧下降；③可能堵塞输液器或血管。正确使用：①仅用0.9%氯化钠注射液稀释；②浓度不低于5mg/ml；③使用0.22μm滤器；④滴速不超过50mg/分钟；⑤不能与其他药物混合；⑥输注完毕后用生理盐水冲管。
现代医学,两性霉素B脂质体能和电解质溶液配伍吗？,不能！两性霉素B脂质体为脂质体制剂，电解质会破坏脂质体结构，导致药物快速释放，毒性增加。配制要求：①只能用5%葡萄糖注射液稀释；②严禁使用生理盐水或任何含电解质的溶液；③不能加入其他药物；④使用1.2μm滤器；⑤避光输注；⑥滴注时间不少于2小时；⑦浓度0.2-2mg/ml；⑧使用专用输液器，不与其他药物共用管路；⑨输注前后用葡萄糖注射液冲管。
现代医学,肾上腺素注射液稳定性如何？,肾上腺素（儿茶酚胺类）稳定性差，易氧化！注意事项：①避光保存，光照下会氧化变色（粉红→棕色）；②碱性环境下迅速氧化失效，不能与碳酸氢钠、氨茶碱等碱性药物配伍；③氧化后产生肾上腺素红，失去药效；④溶液变色立即废弃；⑤用生理盐水或葡萄糖注射液稀释；⑥现用现配；⑦金属离子（铁、铜）会催化氧化，避免接触；⑧抢救时备新鲜药液。
现代医学,紫杉醇注射液使用有什么特殊要求？,紫杉醇使用要求极为特殊！①严禁使用PVC容器和输液器，必须用玻璃瓶、聚乙烯（PE）或聚丙烯（PP）容器及输液器；②PVC会吸附紫杉醇并释放增塑剂DEHP（有毒）；③使用0.22μm或更小的在线滤器；④用生理盐水或5%葡萄糖稀释；⑤浓度0.3-1.2mg/ml；⑥避光；⑦输注前必须预处理（地塞米松、苯海拉明、H2受体拮抗剂）防止过敏；⑧输注时间3小时；⑨配制后27小时内用完。
现代医学,顺铂注射液配制有什么注意事项？,顺铂配制要求严格！①只能用生理盐水或含氯化钠的溶液稀释，严禁用葡萄糖注射液或不含氯离子的溶液；②原因：氯离子维持顺铂稳定性，缺少氯离子会导致顺铂水解，毒性增加，抗肿瘤活性下降；③不能使用含铝的器具（针头、注射器），铝会置换出铂，使药物失效并产生黑色沉淀；④避光；⑤不与其他药物混合；⑥配制后使用时间有限；⑦使用前检查是否有黑色沉淀。
现代医学,硝普钠注射液如何正确使用？,硝普钠使用必须避光！①硝普钠见光迅速分解产生氰化物（剧毒），溶液由棕色→蓝色→绿色；②必须用5%葡萄糖注射液稀释（生理盐水中稳定性差）；③输液瓶、输液器必须用黑色或铝箔纸完全包裹避光；④现配现用，4小时内用完；⑤若溶液变色立即废弃；⑥连续使用监测血氰、硫氰酸盐浓度；⑦肝肾功能不全者慎用；⑧不与其他药物混合；⑨微量泵精确控制滴速。
现代医学,奥沙利铂注射液能和生理盐水配伍吗？,不能！奥沙利铂（第三代铂类）只能用5%葡萄糖注射液稀释，严禁使用生理盐水或含氯离子的溶液。原因：氯离子会导致奥沙利铂降解，疗效降低。使用要求：①用250-500ml 5%葡萄糖注射液稀释；②不能使用含铝的器具；③避光；④输注时间2-6小时；⑤不与碱性药物配伍；⑥输液器、冲管液都不能含氯离子；⑦输注完毕后用5%葡萄糖冲管，不用生理盐水。
现代医学,氟尿嘧啶注射液能和酸性药物配伍吗？,不能！氟尿嘧啶（5-FU）在酸性环境（pH＜8）下会析出结晶。禁止配伍：①维生素C（强酸性）；②氨基酸注射液；③盐酸类药物；④酸性抗生素。氟尿嘧啶应用生理盐水或葡萄糖注射液稀释，pH应控制在8-9之间。若与酸性药物同时使用，必须分开不同通路给药。配制后观察是否有结晶析出，有结晶立即停用。避光保存。
现代医学,甲氨蝶呤大剂量使用时需要注意什么？,甲氨蝶呤大剂量（＞1g/m2）使用需要特殊处理！①必须碱化尿液，使尿pH＞7.0，防止甲氨蝶呤在肾小管结晶析出导致肾损伤；②使用碳酸氢钠静脉滴注碱化尿液；③大量补液利尿（3000ml/m2/天）；④监测尿pH、肾功能、血药浓度；⑤48小时后开始亚叶酸钙解救；⑥不与酸性药物配伍；⑦避光输注；⑧用生理盐水或葡萄糖注射液稀释；⑨输液器避免使用含PVC的。
现代医学,环磷酰胺注射液配制有什么要求？,环磷酰胺配制相对简单但需注意！①用注射用水或生理盐水溶解；②溶解后的溶液可用生理盐水或5%葡萄糖稀释；③现配现用，室温下6小时内用完（溶液稳定性下降）；④避免与含硫溶液配伍；⑤不建议与其他化疗药物混合；⑥属于细胞毒性药物，配制时需要个人防护；⑦输注完毕后充分冲管；⑧大剂量使用时需要大量补液防止出血性膀胱炎。
现代医学,阿糖胞苷注射液能和肝素配伍吗？,不能！阿糖胞苷与肝素混合会产生沉淀。此外：①阿糖胞苷可用生理盐水或葡萄糖注射液稀释；②pH应在7.0-9.0之间；③避免与酸性药物配伍；④不与其他化疗药物混合；⑤对橡胶和部分塑料有吸附，使用玻璃或聚丙烯容器较好；⑥配制后室温下48小时稳定（但建议现配现用）；⑦可用于鞘内注射（必须用无防腐剂的制剂）；⑧属于细胞毒性药物，操作时防护。
